--- STDOUT ---
[2025-05-22 13:23:08.130150] [0x00002700] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:23:08.130150] [0x00000fcc] [trace]   Generating perimeters for layer 95
[2025-05-22 13:23:08.130150] [0x00002700] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:23:08.130150] [0x00000fcc] [trace]   Generating perimeters for layer 95, region 0
[2025-05-22 13:23:08.130150] [0x00000440] [trace]   Generating perimeters for layer 137 - Done
[2025-05-22 13:23:08.130150] [0x00000440] [trace]   Generating perimeters for layer 138
[2025-05-22 13:23:08.130150] [0x00000440] [trace]   Generating perimeters for layer 138, region 0
[2025-05-22 13:23:08.130150] [0x00002700] [trace]   Generating perimeters for layer 160 - Done
[2025-05-22 13:23:08.130150] [0x00002700] [trace]   Generating perimeters for layer 161
[2025-05-22 13:23:08.130150] [0x00002700] [trace]   Generating perimeters for layer 161, region 0
[2025-05-22 13:23:08.130150] [0x00000fcc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:23:08.130150] [0x00000fcc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:23:08.131148] [0x00000fcc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:23:08.131148] [0x00000440] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:23:08.131148] [0x00000440] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:23:08.131148] [0x00000440] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:23:08.131148] [0x00002700] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:23:08.131148] [0x00002700] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:23:08.131148] [0x00002700] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:23:08.131148] [0x00000fcc] [trace]   Generating perimeters for layer 95 - Done
[2025-05-22 13:23:08.131148] [0x00000fcc] [trace]   Generating perimeters for layer 96
[2025-05-22 13:23:08.131148] [0x00000fcc] [trace]   Generating perimeters for layer 96, region 0
[2025-05-22 13:23:08.131148] [0x00000440] [trace]   Generating perimeters for layer 138 - Done
[2025-05-22 13:23:08.131148] [0x00000440] [trace]   Generating perimeters for layer 139
[2025-05-22 13:23:08.131148] [0x00000440] [trace]   Generating perimeters for layer 139, region 0
[2025-05-22 13:23:08.131148] [0x00002700] [trace]   Generating perimeters for layer 161 - Done
