--- STDOUT ---
[2025-05-26 09:59:48.341368] [0x000029bc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 09:59:48.341368] [0x000029bc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 09:59:48.341368] [0x00002a44] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 09:59:48.341368] [0x00002a44] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 09:59:48.341368] [0x000029bc] [trace]   Generating perimeters for layer 93 - Done
[2025-05-26 09:59:48.341368] [0x000029bc] [trace]   Generating perimeters for layer 94
[2025-05-26 09:59:48.341368] [0x000029bc] [trace]   Generating perimeters for layer 94, region 0
[2025-05-26 09:59:48.341368] [0x000029bc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 09:59:48.341368] [0x000029bc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 09:59:48.341368] [0x000029bc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 09:59:48.341368] [0x00002a44] [trace]   Generating perimeters for layer 156 - Done
[2025-05-26 09:59:48.341368] [0x00002a44] [trace]   Generating perimeters for layer 157
[2025-05-26 09:59:48.341368] [0x00002a44] [trace]   Generating perimeters for layer 157, region 0
[2025-05-26 09:59:48.341368] [0x00001300] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 09:59:48.341368] [0x00001300] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 09:59:48.341368] [0x00001300] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 09:59:48.341368] [0x000029bc] [trace]   Generating perimeters for layer 94 - Done
[2025-05-26 09:59:48.341368] [0x000029bc] [trace]   Generating perimeters for layer 95
[2025-05-26 09:59:48.341368] [0x000029bc] [trace]   Generating perimeters for layer 95, region 0
[2025-05-26 09:59:48.341368] [0x000029bc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 09:59:48.341368] [0x000029bc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 09:59:48.341368] [0x000029bc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 09:59:48.341368] [0x00002a44] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 09:59:48.341368] [0x00001300] [trace]   Generating perimeters for layer 135 - Done
[2025-05-26 09:59:48.341368] [0x00001300] [trace]   Generating perimeters for layer 136
[2025-05-26 09:59:48.341368] [0x00001300] [trace]   Generating perimeters for layer 136, region 0
[2025-05-26 09:59:48.341368] [0x000029bc] [trace]   Generating perimeters for layer 95 - Done
[2025-05-26 09:59:48.341368] [0x000029bc] [trace]   Generating perimeters for layer 96
[2025-05-26 09:59:48.341368] [0x000029bc] [trace]   Generating perimeters for layer 96, region 0
[2025-05-26 09:59:48.341368] [0x000029bc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 09:59:48.341368] [0x000029bc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 09:59:48.341368] [0x000029bc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 09:59:48.341368] [0x000029bc] [trace]   Generating perimeters for layer 96 - Done
[2025-05-26 09:59:48.341368] [0x000029bc] [trace]   Generating perimeters for layer 97
[2025-05-26 09:59:48.341368] [0x000029bc] [trace]   Generating perimeters for layer 97, region 0
[2025-05-26 09:59:48.341368] [0x00001300] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 09:59:48.341368] [0x00001300] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 09:59:48.341368] [0x00001300] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 09:59:48.341368] [0x000029bc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 09:59:48.341368] [0x000029bc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 09:59:48.341368] [0x000029bc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
