--- STDOUT ---
[2025-05-26 14:01:08.282999] [0x00001fa8] [trace]   Generating perimeters for layer 372
[2025-05-26 14:01:08.282999] [0x00001fa8] [trace]   Generating perimeters for layer 372, region 0
[2025-05-26 14:01:08.282999] [0x00001fa8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:01:08.282999] [0x00001fa8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:01:08.282999] [0x00001fa8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:01:08.309464] [0x00001fa8] [trace]   Generating perimeters for layer 372 - Done
[2025-05-26 14:01:08.309464] [0x00001fa8] [trace]   Generating perimeters for layer 373
[2025-05-26 14:01:08.309464] [0x00001fa8] [trace]   Generating perimeters for layer 373, region 0
[2025-05-26 14:01:08.309464] [0x00001fa8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:01:08.309464] [0x00001fa8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:01:08.309464] [0x00001fa8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:01:08.309464] [0x00000d60] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:01:08.309464] [0x00000d60] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:01:08.309464] [0x00000d60] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:01:08.309464] [0x000033d4] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:01:08.309464] [0x000033d4] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:01:08.309464] [0x000033d4] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:01:08.323028] [0x00002cfc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:01:08.323028] [0x00002cfc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:01:08.323028] [0x00002cfc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:01:08.341610] [0x00001fa8] [trace]   Generating perimeters for layer 373 - Done
[2025-05-26 14:01:08.341610] [0x00001fa8] [trace]   Generating perimeters for layer 374
[2025-05-26 14:01:08.341610] [0x00001fa8] [trace]   Generating perimeters for layer 374, region 0
[2025-05-26 14:01:08.341610] [0x00001fa8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:01:08.341610] [0x00001fa8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:01:08.341610] [0x00001fa8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:01:08.349460] [0x00000d60] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:01:08.349460] [0x00000d60] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:01:08.349460] [0x00000d60] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-26 14:01:08.362810] [0x00001fa8] [trace]   Generating perimeters for layer 374 - Done
[2025-05-26 14:01:08.362810] [0x00001fa8] [trace]   Generating perimeters for layer 375
[2025-05-26 14:01:08.362810] [0x00001fa8] [trace]   Generating perimeters for layer 375, region 0
[2025-05-26 14:01:08.362810] [0x00001fa8] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-26 14:01:08.362810] [0x00001fa8] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-26 14:01:08.362810] [0x00001fa8] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
