--- STDOUT ---
[2025-05-22 13:25:38.253175] [0x0000040c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:25:38.253175] [0x0000040c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:25:38.253175] [0x00000304] [trace]   Generating perimeters for layer 94 - Done
[2025-05-22 13:25:38.253175] [0x00000304] [trace]   Generating perimeters for layer 95
[2025-05-22 13:25:38.253175] [0x00000304] [trace]   Generating perimeters for layer 95, region 0
[2025-05-22 13:25:38.254173] [0x00000304] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:25:38.254173] [0x00000304] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:25:38.254173] [0x00000304] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:25:38.254173] [0x0000040c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:25:38.254173] [0x0000040c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:25:38.254173] [0x0000040c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:25:38.254173] [0x00000304] [trace]   Generating perimeters for layer 95 - Done
[2025-05-22 13:25:38.254173] [0x00000304] [trace]   Generating perimeters for layer 96
[2025-05-22 13:25:38.254173] [0x00000304] [trace]   Generating perimeters for layer 96, region 0
[2025-05-22 13:25:38.254173] [0x00000304] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:25:38.254173] [0x00000304] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:25:38.254173] [0x00000304] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:25:38.254173] [0x00000304] [trace]   Generating perimeters for layer 96 - Done
[2025-05-22 13:25:38.254173] [0x00000304] [trace]   Generating perimeters for layer 97
[2025-05-22 13:25:38.254173] [0x00000304] [trace]   Generating perimeters for layer 97, region 0
[2025-05-22 13:25:38.255170] [0x00000304] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:25:38.255170] [0x00000304] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:25:38.255170] [0x00000304] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:25:38.255170] [0x00000304] [trace]   Generating perimeters for layer 97 - Done
[2025-05-22 13:25:38.255170] [0x00000304] [trace]   Generating perimeters for layer 98
[2025-05-22 13:25:38.255170] [0x00000304] [trace]   Generating perimeters for layer 98, region 0
[2025-05-22 13:25:38.255170] [0x00000304] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:25:38.255170] [0x00000304] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:25:38.255170] [0x00000304] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:25:38.256167] [0x00002104] [trace]   Generating perimeters for layer 139 - Done
[2025-05-22 13:25:38.256167] [0x00002104] [trace]   Generating perimeters for layer 140
[2025-05-22 13:25:38.256167] [0x00002104] [trace]   Generating perimeters for layer 140, region 0
[2025-05-22 13:25:38.256167] [0x00002104] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:25:38.256167] [0x00002104] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:25:38.256167] [0x00002104] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:25:38.257165] [0x00002104] [trace]   Generating perimeters for layer 140 - Done
[2025-05-22 13:25:38.257165] [0x00002104] [trace]   Generating perimeters for layer 141
[2025-05-22 13:25:38.257165] [0x00002104] [trace]   Generating perimeters for layer 141, region 0
[2025-05-22 13:25:38.257165] [0x00002104] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:25:38.257165] [0x00002104] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:25:38.257165] [0x00002104] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:25:38.257165] [0x00002104] [trace]   Generating perimeters for layer 141 - Done
[2025-05-22 13:25:38.257165] [0x00002104] [trace]   Generating perimeters for layer 142
[2025-05-22 13:25:38.257165] [0x00002104] [trace]   Generating perimeters for layer 142, region 0
[2025-05-22 13:25:38.258162] [0x00002104] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:25:38.258162] [0x00002104] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:25:38.258162] [0x00002104] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:25:38.258162] [0x00000304] [trace]   Generating perimeters for layer 98 - Done
[2025-05-22 13:25:38.258162] [0x00000304] [trace]   Generating perimeters for layer 99
[2025-05-22 13:25:38.258162] [0x00000304] [trace]   Generating perimeters for layer 99, region 0
[2025-05-22 13:25:38.258162] [0x00002104] [trace]   Generating perimeters for layer 142 - Done
[2025-05-22 13:25:38.258162] [0x00002104] [trace]   Generating perimeters for layer 143
[2025-05-22 13:25:38.258162] [0x00002104] [trace]   Generating perimeters for layer 143, region 0
[2025-05-22 13:25:38.258162] [0x00002104] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:25:38.258162] [0x00002104] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:25:38.258162] [0x00002104] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:25:38.258162] [0x00000304] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:25:38.258162] [0x00000304] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:25:38.258162] [0x00000304] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:25:38.258162] [0x00002104] [trace]   Generating perimeters for layer 143 - Done
[2025-05-22 13:25:38.258162] [0x00002104] [trace]   Generating perimeters for layer 144
[2025-05-22 13:25:38.258162] [0x00002104] [trace]   Generating perimeters for layer 144, region 0
[2025-05-22 13:25:38.259159] [0x00002104] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:25:38.259159] [0x00002104] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:25:38.259159] [0x00002104] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:25:38.259159] [0x000024ac] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:25:38.259159] [0x00002104] [trace]   Generating perimeters for layer 144 - Done
[2025-05-22 13:25:38.259159] [0x00002104] [trace]   Generating perimeters for layer 145
[2025-05-22 13:25:38.259159] [0x00002104] [trace]   Generating perimeters for layer 145, region 0
[2025-05-22 13:25:38.259159] [0x000024ac] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:25:38.259159] [0x000024ac] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:25:38.259159] [0x00002104] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:25:38.259159] [0x00002104] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:25:38.259159] [0x00002104] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:25:38.259159] [0x00002104] [trace]   Generating perimeters for layer 145 - Done
[2025-05-22 13:25:38.259159] [0x00002104] [trace]   Generating perimeters for layer 146
[2025-05-22 13:25:38.259159] [0x00002104] [trace]   Generating perimeters for layer 146, region 0
[2025-05-22 13:25:38.259159] [0x0000040c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:25:38.259159] [0x0000040c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:25:38.259159] [0x0000040c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:25:38.260157] [0x00002104] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:25:38.260157] [0x00002104] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:25:38.260157] [0x00002104] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:25:38.260157] [0x0000040c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:25:38.260157] [0x0000040c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:25:38.260157] [0x0000040c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:25:38.260157] [0x00002104] [trace]   Generating perimeters for layer 146 - Done
[2025-05-22 13:25:38.260157] [0x00002104] [trace]   Generating perimeters for layer 147
[2025-05-22 13:25:38.260157] [0x00002104] [trace]   Generating perimeters for layer 147, region 0
[2025-05-22 13:25:38.260157] [0x0000040c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-22 13:25:38.260157] [0x0000040c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-22 13:25:38.260157] [0x0000040c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-22 13:25:38.260157] [0x00002104] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
