--- STDOUT ---
[2025-05-20 16:02:54.906645] [0x00002068] [trace]   Generating perimeters for layer 63 - Done
[2025-05-20 16:02:54.906645] [0x00002068] [trace]   Generating perimeters for layer 64
[2025-05-20 16:02:54.906645] [0x00002068] [trace]   Generating perimeters for layer 64, region 0
[2025-05-20 16:02:54.906645] [0x000006e0] [trace]   Generating perimeters for layer 76 - Done
[2025-05-20 16:02:54.906645] [0x000006e0] [trace]   Generating perimeters for layer 77
[2025-05-20 16:02:54.906645] [0x000006e0] [trace]   Generating perimeters for layer 77, region 0
[2025-05-20 16:02:54.922270] [0x00002068] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-20 16:02:54.922270] [0x00002068] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 16:02:54.922270] [0x00002068] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 16:02:54.929442] [0x000006e0] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-20 16:02:54.929442] [0x000006e0] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 16:02:54.929442] [0x000006e0] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 16:02:54.950186] [0x000013dc] [trace]   Generating perimeters for layer 92 - Done
[2025-05-20 16:02:54.950186] [0x000013dc] [trace]   Generating perimeters for layer 93
[2025-05-20 16:02:54.950186] [0x000013dc] [trace]   Generating perimeters for layer 93, region 0
[2025-05-20 16:02:54.957700] [0x00001f5c] [trace]   Generating perimeters for layer 7 - Done
[2025-05-20 16:02:54.957700] [0x00001f5c] [trace]   Generating perimeters for layer 8
[2025-05-20 16:02:54.957700] [0x00001f5c] [trace]   Generating perimeters for layer 8, region 0
[2025-05-20 16:02:54.957700] [0x000013dc] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-20 16:02:54.957700] [0x000013dc] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 16:02:54.957700] [0x000013dc] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 16:02:54.969720] [0x00001f5c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-20 16:02:54.969720] [0x00001f5c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-20 16:02:54.969720] [0x00001f5c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-20 16:02:54.988852] [0x00002068] [trace]   Generating perimeters for layer 64 - Done
[2025-05-20 16:02:54.988852] [0x00002068] [trace]   Generating perimeters for layer 65
[2025-05-20 16:02:54.988852] [0x00002068] [trace]   Generating perimeters for layer 65, region 0
[2025-05-20 16:02:55.004371] [0x000006e0] [trace]   Generating perimeters for layer 77 - Done
[2025-05-20 16:02:55.004371] [0x000006e0] [trace]   Generating perimeters for layer 78
[2025-05-20 16:02:55.004371] [0x000006e0] [trace]   Generating perimeters for layer 78, region 0
[2025-05-20 16:02:55.004371] [0x00002068] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-20 16:02:55.004371] [0x00002068] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
