--- STDOUT ---
[2025-05-17 19:00:59.314951] [0x00000e44] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:59.318940] [0x000024ac] [trace]   Generating perimeters for layer 51 - Done
[2025-05-17 19:00:59.318940] [0x000024ac] [trace]   Generating perimeters for layer 52
[2025-05-17 19:00:59.318940] [0x000024ac] [trace]   Generating perimeters for layer 52, region 0
[2025-05-17 19:00:59.332436] [0x0000020c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:59.332436] [0x0000020c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:59.332436] [0x0000020c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:59.356372] [0x00000e44] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:59.356372] [0x00000e44] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:59.356372] [0x00000e44] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:59.356372] [0x000024ac] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:59.356372] [0x000024ac] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:59.356372] [0x000024ac] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:59.369336] [0x0000071c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:59.369336] [0x0000071c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:59.369336] [0x0000071c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:59.371331] [0x0000020c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:59.371331] [0x0000020c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:59.371331] [0x0000020c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:59.383300] [0x00000e44] [trace]   Generating perimeters for layer 104 - Done
[2025-05-17 19:00:59.383300] [0x00000e44] [trace]   Generating perimeters for layer 105
[2025-05-17 19:00:59.384297] [0x00000e44] [trace]   Generating perimeters for layer 105, region 0
[2025-05-17 19:00:59.396265] [0x00000e44] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:59.396265] [0x00000e44] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:59.397263] [0x00000e44] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:59.410228] [0x0000071c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:59.410228] [0x0000071c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:59.410228] [0x0000071c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:59.412222] [0x0000020c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:59.412222] [0x0000020c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:59.412222] [0x0000020c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:59.432169] [0x00000e44] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:59.432169] [0x00000e44] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:59.432169] [0x00000e44] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:59.446131] [0x0000020c] [trace]   Generating perimeters for layer 207 - Done
[2025-05-17 19:00:59.446131] [0x0000020c] [trace]   Generating perimeters for layer 208
[2025-05-17 19:00:59.447129] [0x0000020c] [trace]   Generating perimeters for layer 208, region 0
[2025-05-17 19:00:59.458099] [0x0000020c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:59.458099] [0x0000020c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:59.458099] [0x0000020c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:59.459098] [0x0000071c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:59.459098] [0x0000071c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:59.459098] [0x0000071c] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:59.467075] [0x000024ac] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:59.467075] [0x000024ac] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:59.467075] [0x000024ac] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:59.494004] [0x00000e44] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:59.494004] [0x00000e44] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
[2025-05-17 19:00:59.494004] [0x00000e44] [trace]   Applying the Limited Beading meta-strategy with maximum bead count = 4.
[2025-05-17 19:00:59.497992] [0x0000020c] [trace]   Applying the Redistribute meta-strategy with outer-wall width = 583429, inner-wall width = 583429.
[2025-05-17 19:00:59.497992] [0x0000020c] [trace]   Applying the Widening Beading meta-strategy with minimum input width 150000 and minimum output width 510000.
